target_id	length	eff_length	est_counts	tpm
TRINITY_DN1054_c0_g1_i1	340	154	0	0
TRINITY_DN1054_c0_g1_i2	662	475.588	10	79.1886
TRINITY_DN1054_c1_g1_i1	601	414.588	0	0
TRINITY_DN1054_c3_g1_i1	269	86.4126	0	0
TRINITY_DN1054_c4_g1_i1	206	35.8896	0	0
TRINITY_DN1052_c0_g1_i1	390	203.702	0	0
TRINITY_DN1052_c0_g1_i2	805	618.588	6	36.5295
TRINITY_DN1085_c0_g1_i1	1905	1718.59	9	19.7226
TRINITY_DN1051_c0_g1_i2	547	360.588	0	0
TRINITY_DN1051_c0_g1_i4	567	380.588	0	0
TRINITY_DN1051_c0_g2_i1	2168	1981.59	15	28.5083
TRINITY_DN1051_c0_g3_i1	572	385.588	0	0
TRINITY_DN1051_c1_g1_i1	716	529.588	0	0
TRINITY_DN1051_c2_g1_i1	460	273.629	1	13.7636
TRINITY_DN1102_c0_g1_i1	384	197.702	1	19.0494
TRINITY_DN1102_c0_g1_i2	278	94.59	0	0
TRINITY_DN1061_c0_g1_i1	344	157.969	0	0
TRINITY_DN1095_c0_g1_i1	505	318.588	0	0
TRINITY_DN1095_c0_g1_i2	295	110.352	0	0
TRINITY_DN1084_c0_g1_i1	384	197.702	2	38.0989
TRINITY_DN1084_c1_g1_i1	215	42.1378	0	0
TRINITY_DN1084_c1_g2_i1	245	65.5479	0	0
TRINITY_DN1084_c2_g1_i1	262	80.1524	1	46.9869
TRINITY_DN1084_c2_g1_i2	322	136.292	0	0
TRINITY_DN1084_c2_g2_i1	865	678.588	28	155.398
TRINITY_DN1084_c2_g2_i2	220	45.8159	0	0
TRINITY_DN1084_c2_g3_i1	395	208.702	0	0
TRINITY_DN1084_c2_g4_i1	361	174.814	1	21.5436
TRINITY_DN1084_c2_g5_i1	266	83.748	5.05046	227.118
TRINITY_DN1084_c2_g6_i1	299	114.161	2	65.9788
TRINITY_DN1084_c2_g6_i2	237	59.0554	0	0
TRINITY_DN1084_c2_g7_i1	642	455.588	3	24.7995
TRINITY_DN1084_c2_g8_i1	246	66.415	0	0
TRINITY_DN1084_c2_g9_i1	232	55.0489	0	0
TRINITY_DN1084_c3_g1_i1	212	40.0128	0	0
TRINITY_DN1084_c4_g1_i1	213	40.7217	0	0
TRINITY_DN1084_c5_g1_i1	393	206.702	5	91.1
TRINITY_DN1084_c6_g1_i1	216	42.8857	1	87.8176
TRINITY_DN1084_c7_g1_i1	289	104.754	2	71.9043
TRINITY_DN1084_c8_g1_i1	420	233.645	1	16.119
TRINITY_DN1084_c9_g1_i1	258	76.7769	1	49.0527
TRINITY_DN1084_c10_g1_i1	273	90.0527	0	0
TRINITY_DN1084_c11_g1_i1	286	102	0	0
TRINITY_DN1084_c12_g1_i1	414	227.645	0	0
TRINITY_DN1084_c13_g1_i1	221	46.5681	0	0
TRINITY_DN1089_c0_g1_i1	668	481.588	0	0
TRINITY_DN1009_c0_g1_i1	497	310.588	0	0
TRINITY_DN1103_c0_g1_i1	298	113.223	0	0
TRINITY_DN1103_c0_g1_i2	712	525.588	4	28.6621
TRINITY_DN1081_c0_g1_i1	664	477.588	0	0
TRINITY_DN1071_c0_g1_i1	1787	1600.59	10	23.5296
TRINITY_DN1104_c0_g1_i1	204	34.6068	0	0
TRINITY_DN1104_c0_g1_i2	716	529.588	0	0
TRINITY_DN1065_c0_g1_i1	1312	1125.59	0	0
TRINITY_DN1065_c1_g1_i1	323	137.274	0	0
TRINITY_DN1065_c2_g1_i1	238	59.8194	1	62.9581
TRINITY_DN1046_c0_g1_i1	481	294.629	0	0
TRINITY_DN1027_c0_g1_i1	998	811.588	7	32.483
TRINITY_DN1027_c0_g1_i2	271	88.2678	1	42.667
TRINITY_DN1060_c0_g1_i1	913	726.588	18.8789	97.855
TRINITY_DN1060_c0_g1_i2	1881	1694.59	1315.12	2922.77
TRINITY_DN1060_c0_g1_i3	1252	1065.59	6.37438	22.529
TRINITY_DN1060_c0_g1_i5	867	680.588	15.7063	86.9129
TRINITY_DN1060_c0_g1_i6	2097	1910.59	554.922	1093.85
TRINITY_DN1060_c0_g2_i1	676	489.588	2.04168	15.7055
TRINITY_DN1060_c0_g2_i2	508	321.588	8.95832	104.911
TRINITY_DN1060_c1_g1_i1	403	216.674	0	0
TRINITY_DN1060_c1_g2_i1	1326	1139.59	36	118.973
TRINITY_DN1060_c2_g1_i1	1457	1270.59	8.17443	24.2296
TRINITY_DN1060_c2_g2_i1	785	598.588	1	6.29167
TRINITY_DN1060_c2_g3_i1	434	247.629	2	30.4175
TRINITY_DN1060_c3_g1_i1	373	186.754	1	20.1662
TRINITY_DN1060_c4_g1_i1	277	93.6739	0	0
TRINITY_DN1083_c0_g1_i1	754	567.588	5	33.1765
TRINITY_DN1098_c0_g1_i1	559	372.588	0	0
TRINITY_DN1106_c0_g1_i1	433	246.629	0	0
TRINITY_DN1106_c0_g1_i2	368	181.766	1	20.7196
TRINITY_DN1074_c0_g1_i1	1562	1375.59	3	8.21347
TRINITY_DN1074_c0_g1_i2	277	93.6739	0	0
TRINITY_DN1074_c0_g1_i3	2042	1855.59	0	0
TRINITY_DN1105_c0_g1_i1	246	66.415	0	0
TRINITY_DN1105_c0_g2_i1	1369	1182.59	5	15.9232
TRINITY_DN1105_c0_g3_i2	345	158.958	0	0
TRINITY_DN1105_c0_g3_i3	981	794.588	58.3004	276.327
TRINITY_DN1105_c0_g3_i4	1038	851.588	8.69965	38.4739
TRINITY_DN1105_c0_g4_i1	2004	1817.59	14	29.0086
TRINITY_DN1105_c1_g1_i1	380	193.702	1	19.4428
TRINITY_DN1105_c2_g1_i1	634	447.588	1	8.41424
TRINITY_DN1105_c2_g2_i1	1302	1115.59	14	47.2626
TRINITY_DN1105_c3_g1_i1	556	369.588	11	112.09
TRINITY_DN1040_c0_g1_i1	261	79.3026	1	47.4905
TRINITY_DN1040_c0_g2_i1	396	209.688	1	17.9606
TRINITY_DN1068_c1_g1_i1	214	41.4074	0	0
TRINITY_DN1057_c0_g1_i1	522	335.588	1	11.2224
TRINITY_DN1035_c0_g1_i2	246	66.415	2	113.412
TRINITY_DN1035_c1_g1_i1	502	315.588	0	0
TRINITY_DN1035_c2_g1_i1	202	33.3096	0	0
TRINITY_DN1099_c0_g1_i1	385	198.702	1	18.9536
TRINITY_DN1099_c0_g2_i1	657	470.588	4	32.012
TRINITY_DN1029_c0_g1_i1	360	173.814	5	108.338
TRINITY_DN1045_c0_g1_i1	227	51.1382	1	73.6459
TRINITY_DN1045_c1_g1_i1	235	57.421	1	65.5879
TRINITY_DN1015_c0_g1_i1	845	658.588	0	0
TRINITY_DN1038_c0_g1_i1	508	321.588	1	11.711
TRINITY_DN1067_c0_g1_i1	361	174.814	3	64.6307
TRINITY_DN1047_c0_g1_i10	4387	4200.59	11.2748	10.1086
TRINITY_DN1047_c0_g1_i11	1186	999.588	23.7494	89.48
TRINITY_DN1047_c0_g1_i12	802	615.588	0	0
TRINITY_DN1047_c0_g1_i14	8784	8597.59	37.72	16.523
TRINITY_DN1047_c0_g1_i16	10861	10674.6	184.005	64.9192
TRINITY_DN1047_c0_g1_i17	548	361.588	0	0
TRINITY_DN1047_c0_g1_i2	788	601.588	0	0
TRINITY_DN1047_c0_g1_i20	1249	1062.59	10.1113	35.8374
TRINITY_DN1047_c0_g1_i22	3186	2999.59	67.0761	84.217
TRINITY_DN1047_c0_g1_i23	2944	2757.59	38.0632	51.9839
TRINITY_DN1047_c0_g1_i24	2083	1896.59	27.3246	54.2594
TRINITY_DN1047_c0_g1_i3	4461	4274.59	91.6754	80.7704
TRINITY_DN1047_c0_g1_i6	303	117.95	0	0
TRINITY_DN1047_c1_g1_i1	3040	2853.59	38	50.1518
TRINITY_DN1047_c2_g1_i1	731	544.588	3	20.7466
TRINITY_DN1047_c3_g1_i1	204	34.6068	1	108.826
TRINITY_DN1047_c4_g1_i1	1062	875.588	4	17.205
TRINITY_DN1092_c1_g1_i1	1618	1431.59	7	18.4151
TRINITY_DN1026_c0_g1_i1	326	140.208	2	53.7218
TRINITY_DN1080_c0_g1_i1	1314	1127.59	23.4061	78.1759
TRINITY_DN1080_c0_g1_i10	3209	3022.59	0	0
TRINITY_DN1080_c0_g1_i13	2562	2375.59	0	0
TRINITY_DN1080_c0_g1_i14	2473	2286.59	33.7258	55.548
TRINITY_DN1080_c0_g1_i15	630	443.588	6	50.9407
TRINITY_DN1080_c0_g1_i4	3147	2960.59	0.000653629	0.000831471
TRINITY_DN1080_c0_g1_i6	3104	2917.59	97.1618	125.42
TRINITY_DN1080_c0_g1_i8	3420	3233.59	20.4658	23.8362
TRINITY_DN1080_c0_g1_i9	2709	2522.59	20.2399	30.2173
