target_id	length	eff_length	est_counts	tpm
TRINITY_DN1054_c0_g1_i1	340	149.447	2	60.0767
TRINITY_DN1054_c0_g1_i2	662	470.677	0	0
TRINITY_DN1054_c1_g1_i1	601	409.714	3	32.8702
TRINITY_DN1054_c3_g1_i1	269	82.9115	0	0
TRINITY_DN1054_c4_g1_i1	206	35.043	2.63773	337.902
TRINITY_DN1052_c0_g1_i1	390	198.882	4.31592	97.4184
TRINITY_DN1052_c0_g1_i2	805	613.677	9.68408	70.8403
TRINITY_DN1085_c0_g1_i1	1905	1713.68	12	31.4351
TRINITY_DN1051_c0_g1_i2	547	355.744	5	63.0949
TRINITY_DN1051_c0_g1_i4	567	375.714	1	11.9483
TRINITY_DN1051_c0_g2_i1	2168	1976.68	9	20.4394
TRINITY_DN1051_c0_g3_i1	572	380.714	6	70.7481
TRINITY_DN1051_c1_g1_i1	716	524.677	1	8.55599
TRINITY_DN1051_c2_g1_i1	460	268.744	1	16.7041
TRINITY_DN1102_c0_g1_i1	384	192.944	0	0
TRINITY_DN1102_c0_g1_i2	278	90.7663	0	0
TRINITY_DN1061_c0_g1_i1	344	153.386	1	29.2668
TRINITY_DN1095_c0_g1_i1	505	313.744	1	14.3083
TRINITY_DN1095_c0_g1_i2	295	106.495	1	42.1534
TRINITY_DN1084_c0_g1_i1	384	192.944	0	0
TRINITY_DN1084_c1_g1_i1	215	40.995	0	0
TRINITY_DN1084_c1_g2_i1	245	62.8545	0	0
TRINITY_DN1084_c2_g1_i1	262	76.8247	2	116.867
TRINITY_DN1084_c2_g1_i2	322	131.988	0	0
TRINITY_DN1084_c2_g2_i1	865	673.677	27	179.918
TRINITY_DN1084_c2_g2_i2	220	44.4328	0	0
TRINITY_DN1084_c2_g3_i1	395	203.865	0	0
TRINITY_DN1084_c2_g4_i1	361	170.116	2	52.7774
TRINITY_DN1084_c2_g5_i1	266	80.3353	0	0
TRINITY_DN1084_c2_g6_i1	299	110.327	0	0
TRINITY_DN1084_c2_g6_i2	237	56.7252	0	0
TRINITY_DN1084_c2_g7_i1	642	450.714	1	9.96004
TRINITY_DN1084_c2_g8_i1	246	63.6432	1	70.5359
TRINITY_DN1084_c2_g9_i1	232	52.9398	0	0
TRINITY_DN1084_c3_g1_i1	212	38.9585	0	0
TRINITY_DN1084_c4_g1_i1	213	39.5904	0	0
TRINITY_DN1084_c5_g1_i1	393	201.882	0	0
TRINITY_DN1084_c6_g1_i1	216	41.6379	0	0
TRINITY_DN1084_c7_g1_i1	289	100.893	2	88.9881
TRINITY_DN1084_c8_g1_i1	420	228.763	3	58.8705
TRINITY_DN1084_c9_g1_i1	258	73.4713	0	0
TRINITY_DN1084_c10_g1_i1	273	86.3705	1	51.9753
TRINITY_DN1084_c11_g1_i1	286	98.1695	2	91.4566
TRINITY_DN1084_c12_g1_i1	414	222.781	1	20.1504
TRINITY_DN1084_c13_g1_i1	221	45.1569	0	0
TRINITY_DN1089_c0_g1_i1	668	476.677	2	18.8351
TRINITY_DN1009_c0_g1_i1	497	305.744	3	44.0479
TRINITY_DN1103_c0_g1_i1	298	109.381	0	0
TRINITY_DN1103_c0_g1_i2	712	520.677	3	25.8651
TRINITY_DN1081_c0_g1_i1	664	472.677	1	9.49724
TRINITY_DN1071_c0_g1_i1	1787	1595.68	9	25.3198
TRINITY_DN1104_c0_g1_i1	204	33.8184	0	0
TRINITY_DN1104_c0_g1_i2	716	524.677	4	34.2239
TRINITY_DN1065_c0_g1_i1	1312	1120.68	17	68.0974
TRINITY_DN1065_c1_g1_i1	323	132.945	0	0
TRINITY_DN1065_c2_g1_i1	238	57.5284	1	78.0333
TRINITY_DN1046_c0_g1_i1	481	289.744	2	30.9869
TRINITY_DN1027_c0_g1_i1	998	806.677	4	22.2599
TRINITY_DN1027_c0_g1_i2	271	84.6256	0	0
TRINITY_DN1060_c0_g1_i1	913	721.677	7.91715	49.2479
TRINITY_DN1060_c0_g1_i2	1881	1689.68	506.954	1346.87
TRINITY_DN1060_c0_g1_i3	1252	1060.68	2.45334	10.3833
TRINITY_DN1060_c0_g1_i5	867	675.677	11.5722	76.8846
TRINITY_DN1060_c0_g1_i6	2097	1905.68	513.104	1208.7
TRINITY_DN1060_c0_g2_i1	676	484.677	3.68073	34.0913
TRINITY_DN1060_c0_g2_i2	508	316.744	3.31927	47.0431
TRINITY_DN1060_c1_g1_i1	403	211.816	1	21.1935
TRINITY_DN1060_c1_g2_i1	1326	1134.68	7	27.6941
TRINITY_DN1060_c2_g1_i1	1457	1265.68	22.3948	79.4305
TRINITY_DN1060_c2_g2_i1	785	593.677	3	22.6847
TRINITY_DN1060_c2_g3_i1	434	242.744	0	0
TRINITY_DN1060_c3_g1_i1	373	182.004	0	0
TRINITY_DN1060_c4_g1_i1	277	89.8258	0	0
TRINITY_DN1083_c0_g1_i1	754	562.677	2	15.9563
TRINITY_DN1098_c0_g1_i1	559	367.744	1	12.2072
TRINITY_DN1106_c0_g1_i1	433	241.744	2	37.1395
TRINITY_DN1106_c0_g1_i2	368	177.032	0	0
TRINITY_DN1074_c0_g1_i1	1562	1370.68	5.71572	18.7197
TRINITY_DN1074_c0_g1_i2	277	89.8258	0	0
TRINITY_DN1074_c0_g1_i3	2042	1850.68	10.2843	24.9462
TRINITY_DN1105_c0_g1_i1	246	63.6432	0	0
TRINITY_DN1105_c0_g2_i1	1369	1177.68	13	49.5541
TRINITY_DN1105_c0_g3_i2	345	154.362	0	0
TRINITY_DN1105_c0_g3_i3	981	789.677	0	0
TRINITY_DN1105_c0_g3_i4	1038	846.677	0	0
TRINITY_DN1105_c0_g4_i1	2004	1812.68	9	22.2887
TRINITY_DN1105_c1_g1_i1	380	188.944	1	23.759
TRINITY_DN1105_c2_g1_i1	634	442.714	0	0
TRINITY_DN1105_c2_g2_i1	1302	1110.68	10	40.418
TRINITY_DN1105_c3_g1_i1	556	364.744	1	12.3076
TRINITY_DN1040_c0_g1_i1	261	75.9278	0	0
TRINITY_DN1040_c0_g2_i1	396	204.865	2	43.8252
TRINITY_DN1068_c1_g1_i1	214	40.29	2	222.841
TRINITY_DN1057_c0_g1_i1	522	330.744	3	40.7185
TRINITY_DN1035_c0_g1_i2	246	63.6432	0	0
TRINITY_DN1035_c1_g1_i1	502	310.744	0	0
TRINITY_DN1035_c2_g1_i1	202	32.4729	0	0
TRINITY_DN1099_c0_g1_i1	385	193.929	0	0
TRINITY_DN1099_c0_g2_i1	657	465.677	3	28.92
TRINITY_DN1029_c0_g1_i1	360	169.129	4	106.17
TRINITY_DN1045_c0_g1_i1	227	49.2034	1	91.2362
TRINITY_DN1045_c1_g1_i1	235	55.1331	0	0
TRINITY_DN1015_c0_g1_i1	845	653.677	5	34.3375
TRINITY_DN1038_c0_g1_i1	508	316.744	1	14.1727
TRINITY_DN1067_c0_g1_i1	361	170.116	1	26.3887
TRINITY_DN1047_c0_g1_i10	4387	4195.68	0	0
TRINITY_DN1047_c0_g1_i11	1186	994.677	2.44989	11.0567
TRINITY_DN1047_c0_g1_i12	802	610.677	0	0
TRINITY_DN1047_c0_g1_i14	8784	8592.68	49.9676	26.1049
TRINITY_DN1047_c0_g1_i16	10861	10669.7	141.032	59.3376
TRINITY_DN1047_c0_g1_i17	548	356.744	0	0
TRINITY_DN1047_c0_g1_i2	788	596.677	0	0
TRINITY_DN1047_c0_g1_i20	1249	1057.68	4.51026	19.143
TRINITY_DN1047_c0_g1_i22	3186	2994.68	0	0
TRINITY_DN1047_c0_g1_i23	2944	2752.68	44.0398	71.8212
TRINITY_DN1047_c0_g1_i24	2083	1891.68	8.58939	20.3834
TRINITY_DN1047_c0_g1_i3	4461	4269.68	75.4106	79.2865
TRINITY_DN1047_c0_g1_i6	303	114.1	1	39.3439
TRINITY_DN1047_c1_g1_i1	3040	2848.68	30	47.2759
TRINITY_DN1047_c2_g1_i1	731	539.677	5	41.5909
TRINITY_DN1047_c3_g1_i1	204	33.8184	0	0
TRINITY_DN1047_c4_g1_i1	1062	870.677	1	5.15591
TRINITY_DN1092_c1_g1_i1	1618	1426.68	7	22.0259
TRINITY_DN1026_c0_g1_i1	326	135.815	3	99.1595
TRINITY_DN1080_c0_g1_i1	1314	1122.68	10.3627	41.4364
TRINITY_DN1080_c0_g1_i10	3209	3017.68	0	0
TRINITY_DN1080_c0_g1_i13	2562	2370.68	0	0
TRINITY_DN1080_c0_g1_i14	2473	2281.68	25.2914	49.76
TRINITY_DN1080_c0_g1_i15	630	438.714	1	10.2325
TRINITY_DN1080_c0_g1_i4	3147	2955.68	57.8981	87.9365
TRINITY_DN1080_c0_g1_i6	3104	2912.68	53.6204	82.6417
TRINITY_DN1080_c0_g1_i8	3420	3228.68	11.8268	16.4439
TRINITY_DN1080_c0_g1_i9	2709	2517.68	20.2439	36.0958
TRINITY_DN1080_c2_g1_i1	252	68.4074	0	0
TRINITY_DN1080_c3_g1_i1	254	70.0387	0	0
TRINITY_DN1080_c4_g1_i1	203	33.1417	1	135.453
TRINITY_DN1044_c0_g1_i1	674	482.677	0	0
TRINITY_DN1055_c0_g1_i1	336	145.589	1	30.8343
TRINITY_DN1055_c0_g1_i2	226	48.6002	0	0
TRINITY_DN1013_c0_g1_i1	290	101.835	1	44.0824
TRINITY_DN1075_c0_g1_i1	2090	1898.68	27	63.8373
TRINITY_DN1014_c0_g1_i1	608	416.714	3.41853	36.8268
TRINITY_DN1014_c0_g1_i3	329	138.76	1.58147	51.1631
TRINITY_DN1036_c0_g1_i1	274	87.1836	1	51.4905
TRINITY_DN1077_c0_g1_i1	280	92.6451	0	0
TRINITY_DN1077_c0_g2_i1	724	532.677	4	33.7099
TRINITY_DN1077_c1_g1_i1	1607	1415.68	10	31.7101
TRINITY_DN1077_c1_g2_i1	215	40.995	1	109.504
TRINITY_DN1077_c1_g2_i2	444	252.744	2	35.5231
TRINITY_DN1077_c2_g1_i1	649	457.714	0	0
TRINITY_DN1077_c2_g1_i2	708	516.677	0	0
TRINITY_DN1077_c2_g2_i1	519	327.744	7	95.8794
TRINITY_DN1077_c2_g3_i1	580	388.714	3	34.646
TRINITY_DN1077_c2_g4_i1	1981	1789.68	8	20.0668
TRINITY_DN1077_c2_g5_i1	816	624.677	6	43.1179
TRINITY_DN1077_c2_g6_i1	229	50.6611	0	0
TRINITY_DN1077_c2_g7_i1	440	248.744	0	0
TRINITY_DN1077_c4_g1_i1	791	599.677	7	52.4014
TRINITY_DN1077_c4_g2_i1	803	611.677	5.68561e-07	4.1727e-06
TRINITY_DN1077_c5_g1_i1	386	194.913	0	0
TRINITY_DN1077_c6_g1_i1	250	66.7456	0	0
TRINITY_DN1077_c7_g1_i1	205	34.4417	0	0
TRINITY_DN1077_c8_g1_i1	210	37.6411	0	0
TRINITY_DN1096_c0_g1_i1	217	42.3379	1	106.031
TRINITY_DN1096_c0_g2_i1	313	123.513	1	36.3455
TRINITY_DN1096_c0_g3_i1	319	129.166	0	0
TRINITY_DN1063_c0_g1_i1	1674	1482.68	14	42.3881
TRINITY_DN1063_c0_g1_i2	386	194.913	3	69.0943
TRINITY_DN1063_c0_g1_i4	355	164.183	0	0
TRINITY_DN1086_c0_g1_i1	427	235.763	1	19.0408
TRINITY_DN1023_c0_g1_i1	400	208.816	3	64.4941
TRINITY_DN1023_c0_g2_i1	248	65.1869	1	68.8655
TRINITY_DN1023_c0_g3_i1	469	277.744	1	16.1628
TRINITY_DN1023_c0_g4_i1	233	53.7028	0	0
TRINITY_DN1023_c2_g1_i1	264	78.5822	0	0
TRINITY_DN1050_c0_g1_i1	801	609.677	5	36.8156
TRINITY_DN1050_c0_g1_i2	609	417.714	0	0
TRINITY_DN1066_c0_g1_i1	459	267.744	2	33.533
TRINITY_DN1066_c0_g2_i1	766	574.677	3	23.4347
TRINITY_DN1066_c0_g3_i1	2149	1957.68	98.9753	226.959
TRINITY_DN1066_c0_g3_i3	1319	1127.68	39.9874	159.185
TRINITY_DN1066_c0_g3_i5	656	464.677	0	0
TRINITY_DN1066_c0_g3_i6	928	736.677	2.03725	12.4145
TRINITY_DN1066_c0_g5_i1	642	450.714	0	0
TRINITY_DN1066_c1_g1_i1	240	59.0609	0	0
TRINITY_DN1066_c1_g2_i1	293	104.65	0	0
TRINITY_DN1066_c1_g2_i2	977	785.677	3	17.1411
TRINITY_DN1066_c1_g3_i1	477	285.744	2	31.4206
TRINITY_DN1043_c0_g1_i1	601	409.714	7	76.6972
TRINITY_DN1043_c1_g1_i1	641	449.714	3	29.9466
